name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
Gigabyte B850 GAMING X WIFI6E,197.99,AM5,ATX,256,4,Gray / Black,DDR5,2,4
Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black,DDR4,2,4
ASRock B650M-HDV/M.2,138.63,AM5,Micro ATX,96,2,Silver / Black,DDR5,2,4
Asus Z790 GAMING WIFI7,179.99,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
MSI MAG X870E TOMAHAWK WIFI,309.99,AM5,ATX,256,4,Black / Green,DDR5,2,4
Gigabyte B550 EAGLE WIFI6,129.99,AM4,ATX,128,4,Black,DDR4,2,4
MSI PRO H610M-G DDR4,93.99,LGA1700,Micro ATX,64,2,Black / Silver,DDR4,2,4
MSI MEG X870E GODLIKE,999.99,AM5,EATX,256,4,Black,DDR5,2,4
ASRock X870 Pro RS WiFi,240.99,AM5,ATX,256,4,White,DDR5,2,4
Gigabyte B850M AORUS ELITE WIFI6E ICE,199.99,AM5,Micro ATX,256,4,White / Silver,DDR5,2,4
ASRock B760M-HDV/M.2,119.32,LGA1700,Micro ATX,96,2,White / Black,DDR4,2,4
Gigabyte TRX40 DESIGNARE,1449.0,sTRX4,XL ATX,256,8,Black / Silver,DDR4,2,4
ASRock A520M-HDV,62.99,AM4,Micro ATX,64,2,Black / Silver,DDR4,2,4
ASRock B550 Phantom Gaming 4/ac,99.99,AM4,ATX,128,4,Silver / Black,DDR4,2,4
Gigabyte X870 AORUS ELITE WIFI7,262.0,AM5,ATX,256,4,Black,DDR5,2,4
Asus ROG STRIX B760-I GAMING WIFI,209.95,LGA1700,Mini ITX,96,2,Black,DDR4,2,4
Gigabyte X870 GAMING WIFI6,189.99,AM5,ATX,256,4,Black / Gray,DDR5,2,4
ASRock A620M-HDV/M.2,129.14,AM5,Micro ATX,96,2,Gray / Black,DDR5,2,4
MSI MAG Z890 TOMAHAWK WIFI,239.99,LGA1851,ATX,256,4,Black / Yellow,DDR5,2,4
Asus ProArt X870E-CREATOR WIFI,517.99,AM5,ATX,256,4,Black / Gold,DDR5,2,4
ASRock B650 PG LIGHTNING,129.99,AM5,ATX,256,4,Black,DDR5,2,4
