name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Cooler Master HAF 500,98.08,ATX Mid Tower,White,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
KOLINK Satellite,124.99,MicroATX Desktop,Black,Mesh,13.8,"Micro ATX, Mini ITX",330,155,ATX
be quiet! Light Base 900 DX,214.9,ATX Full Tower,White,Tempered Glass,84.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Azza Spectra,59.99,ATX Mid Tower,Black,Tempered Glass,33.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
FSP Group S380,124.99,MicroATX Mini Tower,Black,Tempered Glass,48.2,"Micro ATX, Mini ITX",330,155,ATX
Vetroo AL900,79.98,ATX Mid Tower,White,Tempered Glass,48.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks Eclipse P300,124.99,ATX Mid Tower,Black,Tinted Tempered Glass,36.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone FARA 515XR,79.59,ATX Mid Tower,White,Tempered Glass,39.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
RAIJINTEK OPHION EVO,69.9,Mini ITX Desktop,Black,Acrylic,42.8,Mini ITX,300,140,SFX
KOLINK Observatory MX Mesh ARGB,124.99,ATX Mid Tower,Black,Tempered Glass,30.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
KOLINK Rocket Complex,124.99,Mini ITX Tower,Black,Mesh,20.4,Mini ITX,300,140,SFX
Corsair iCUE 5000T RGB,239.99,ATX Mid Tower,Black,Tempered Glass,74.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake The Tower 300,134.99,MicroATX Mini Tower,Green / Black,Tempered Glass,53.0,"Micro ATX, Mini ITX",330,155,ATX
Aerocool Bolt,82.79,ATX Mid Tower,Black,Acrylic,35.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo TK-2 2.0,162.0,ATX Mid Tower,Black,Tempered Glass,53.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec CX300 RGB ELITE,124.99,ATX Mid Tower,Black,Tempered Glass,44.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
GameMax Vista A,124.99,ATX Mid Tower,White,Tempered Glass,44.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
KOLINK Stronghold Barricade,124.99,ATX Mid Tower,Black,Tempered Glass,37.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo D31 STD,124.99,MicroATX Mini Tower,Black,Tempered Glass,31.3,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Torrent Nano RGB,124.99,Mini ITX Tower,Black,Tinted Tempered Glass,34.6,Mini ITX,300,140,SFX
Thermaltake View 380 XL TG ARGB,79.0,ATX Mid Tower,Yellow / Black,Tempered Glass,63.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
APNX Creator C1,99.99,ATX Mid Tower,White,Tempered Glass,53.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake The Tower 600,169.99,ATX Mid Tower,Blue,Tempered Glass,66.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox MB320L ARGB,84.99,MicroATX Mini Tower,Black,Tempered Glass,38.8,"Micro ATX, Mini ITX",330,155,ATX
Antec DF600 FLUX,104.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake The Tower 300 Hydrangea,153.99,MicroATX Mini Tower,Blue,Tempered Glass,53.0,"Micro ATX, Mini ITX",330,155,ATX
GAMDIAS ATLAS M1,84.99,ATX Mid Tower,White,Tempered Glass,41.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone PS16B,75.15,MicroATX Mini Tower,Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Cooler Master TD300 Mesh,84.99,MicroATX Mini Tower,White / Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Cooler Master MasterCase H500M,462.49,ATX Mid Tower,Black,Tempered Glass,73.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec DF700 FLUX,148.98,ATX Mid Tower,Black,Tempered Glass,49.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CG580 4F,124.99,ATX Mid Tower,Black,Tempered Glass,51.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair iCUE 465X RGB,124.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair Vengeance C70,124.99,ATX Mid Tower,Green,Acrylic,61.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec C7 ARGB,173.49,ATX Mid Tower,Black,Tempered Glass,58.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech Heritage PRO,109.9,MicroATX Mid Tower,White,Tempered Glass,41.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 2500X Obsidian,159.99,MicroATX Mini Tower,Black,Tempered Glass,54.8,"Micro ATX, Mini ITX",330,155,ATX
Cooler Master HAF XB EVO,124.99,ATX Desktop,Black,Mesh,61.7,Mini ITX,300,140,SFX
Cougar MX330-G Pro,68.09,ATX Mid Tower,Black,Tempered Glass,49.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Apevia Destiny Flow,75.98,ATX Mid Tower,Pink,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
