name,price,capacity,price_per_gb,type,cache,form_factor,interface
PNY CS2150,169.99,2000.0,0.085,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
KIOXIA EXCERIA PLUS G3,146.31,2000.0,0.073,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,179.99,10000.0,0.018,HDD,256.0,3.5,SATA 6.0 Gb/s
Samsung 850 Evo,126.97,250.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Exos X24 SED,571.59,24000.0,0.024,HDD,512.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,91.99,1000.0,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,124.99,8000.0,0.016,HDD,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP QX,182.99,4000.0,0.046,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,109.0,500.0,0.218,SSD,512.0,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,77.98,1000.0,0.078,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP400,126.97,8000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Surveillance HDD,99.0,2000.0,0.05,HDD,64.0,3.5,SATA 6.0 Gb/s
Crucial P3,44.06,500.0,0.088,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Intel DC P3608,126.97,4000.0,0.087,SSD,128.0,PCIe,PCIe x8
Seagate IronWolf Pro,150.0,4000.0,0.037,HDD,256.0,3.5,SATA 6.0 Gb/s
Silicon Power A55,84.99,2000.0,0.042,SSD,128.0,2.5,SATA 6.0 Gb/s
Kingston NV2,118.77,2000.0,0.059,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2150,89.99,1000.0,0.09,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP700 Elite,134.99,1000.0,0.135,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
FanXiang S880,59.99,1000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Gamma,1068.14,8000.0,0.134,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Intel D3-S4610,1485.0,7680.0,0.193,SSD,128.0,2.5,SATA 6.0 Gb/s
Crucial BX500,228.99,4000.0,0.057,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,249.99,12000.0,0.021,HDD,256.0,3.5,SATA 6.0 Gb/s
Kingston NV3,238.98,4000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,29.79,512.0,0.058,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 9100 PRO w/Heatsink,249.99,2000.0,0.125,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M450,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston FURY Renegade G5,458.46,4096.0,0.112,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Toshiba HDKBB96,29.95,1000.0,0.03,HDD,8.0,2.5,SATA 6.0 Gb/s
PNY CS900,49.99,1000.0,0.05,SSD,128.0,2.5,SATA 6.0 Gb/s
Kingston Fury Renegade,309.95,4000.0,0.077,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,141.47,1000.0,0.141,SSD,128.0,2.5,SATA 6.0 Gb/s
MSI SPATIUM M470 PRO,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,369.99,4000.0,0.092,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Red Plus,158.85,8000.0,0.02,HDD,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,72.99,4000.0,0.018,HDD,256.0,3.5,SATA 6.0 Gb/s
Crucial T500,300.0,4000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN7100,239.99,4000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000,97.99,2000.0,0.049,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial CT1000E100SSD8,71.5,1000.0,0.072,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,119.99,2000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,140.55,2000.0,0.07,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo,106.13,500.0,0.212,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,122.79,1000.0,0.123,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
